time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,temperature_2m_media_movel_24h,relative_humidity_2m_media_movel_24h,wind_speed_10m_media_movel_24h,shortwave_radiation_media_movel_24h,indice_calor_c
2026-07-02 14:00:00,8.1,81,17.5,210.0,10.258333333333333,93.33333333333333,15.112499999999999,39.291666666666664,8.1
2026-07-02 15:00:00,8.2,75,17.3,252.0,9.991666666666667,93.20833333333333,15.204166666666667,42.416666666666664,8.199999999999998
2026-07-02 16:00:00,8.2,70,17.8,167.0,9.729166666666666,92.79166666666667,15.504166666666665,45.833333333333336,8.199999999999998
2026-07-02 17:00:00,8.5,66,17.0,59.0,9.516666666666667,91.91666666666667,16.004166666666666,47.458333333333336,8.499999999999998
2026-07-02 18:00:00,7.9,67,14.8,16.0,9.316666666666666,90.79166666666667,16.224999999999998,48.0,7.8999999999999995
2026-07-02 19:00:00,6.7,72,12.8,0.0,9.079166666666666,89.79166666666667,16.3625,48.0,6.700000000000001
2026-07-02 20:00:00,7.1,70,17.5,0.0,8.866666666666665,88.66666666666667,16.583333333333332,48.0,7.1000000000000005
2026-07-02 21:00:00,6.3,70,20.7,0.0,8.637500000000001,87.54166666666667,16.875,48.0,6.300000000000002
2026-07-02 22:00:00,5.2,67,20.8,0.0,8.362499999999999,86.20833333333333,17.108333333333334,48.0,5.199999999999999
2026-07-02 23:00:00,4.0,68,18.7,0.0,8.058333333333332,84.91666666666667,17.041666666666668,48.0,4.000000000000002
2026-07-03 00:00:00,2.4,75,15.3,0.0,7.716666666666666,83.95833333333333,16.945833333333333,48.0,2.4000000000000004
2026-07-03 01:00:00,1.5,78,15.5,0.0,7.354166666666667,83.20833333333333,16.879166666666666,48.0,1.5000000000000016
2026-07-03 02:00:00,0.9,80,14.4,0.0,6.979166666666667,82.625,16.879166666666666,48.0,0.8999999999999986
2026-07-03 03:00:00,-0.4,86,12.0,0.0,6.558333333333334,82.29166666666667,16.779166666666665,48.0,-0.39999999999999936
2026-07-03 04:00:00,-0.5,86,12.9,0.0,6.1499999999999995,82.0,16.75,48.0,-0.4999999999999992
