time,Temperatura_C,Umidade_Relativa_%,Velocidade_Vento_kmh,Radiacao_Solar_Wm2,Temperatura_C_MM24h,Umidade_Relativa_%_MM24h,Velocidade_Vento_kmh_MM24h,Radiacao_Solar_Wm2_MM24h,Indice_Calor_C
2026-07-08 14:00:00,17.2,53,11.1,565.0,9.075000000000001,76.45833333333333,9.104166666666666,154.91666666666666,17.2
2026-07-08 15:00:00,18.5,49,10.8,464.0,9.191666666666666,76.45833333333333,9.025,152.79166666666666,18.5
2026-07-08 16:00:00,18.1,57,8.5,322.0,9.304166666666667,76.75,8.9,150.125,18.1
2026-07-08 17:00:00,16.7,70,4.8,210.0,9.404166666666667,77.16666666666667,8.795833333333333,149.75,16.7
2026-07-08 18:00:00,13.5,74,5.6,53.0,9.5,77.33333333333333,8.75,149.83333333333334,13.5
2026-07-08 19:00:00,12.1,79,8.3,0.0,9.595833333333333,77.54166666666667,8.804166666666667,149.83333333333334,12.1
2026-07-08 20:00:00,11.1,81,10.7,0.0,9.6875,77.70833333333333,8.958333333333334,149.83333333333334,11.1
2026-07-08 21:00:00,10.4,84,12.9,0.0,9.8,77.83333333333333,9.120833333333334,149.83333333333334,10.4
2026-07-08 22:00:00,9.9,85,12.7,0.0,9.920833333333334,77.91666666666667,9.2875,149.83333333333334,9.9
2026-07-08 23:00:00,9.3,86,11.1,0.0,10.0375,77.91666666666667,9.366666666666665,149.83333333333334,9.3
2026-07-09 00:00:00,8.5,86,10.4,0.0,10.145833333333334,77.83333333333333,9.491666666666665,149.83333333333334,8.5
2026-07-09 01:00:00,8.1,86,9.9,0.0,10.241666666666665,77.75,9.504166666666666,149.83333333333334,8.1
2026-07-09 02:00:00,7.9,86,10.1,0.0,10.329166666666667,77.70833333333333,9.475,149.83333333333334,7.9
2026-07-09 03:00:00,7.2,87,8.1,0.0,10.420833333333334,77.66666666666667,9.475,149.83333333333334,7.2
2026-07-09 04:00:00,6.7,88,8.7,0.0,10.512500000000001,77.625,9.570833333333335,149.83333333333334,6.7
2026-07-09 05:00:00,6.5,88,6.5,0.0,10.591666666666667,77.58333333333333,9.491666666666667,149.83333333333334,6.5
2026-07-09 06:00:00,6.8,86,7.6,0.0,10.683333333333332,77.45833333333333,9.391666666666667,149.83333333333334,6.8
2026-07-09 07:00:00,7.3,85,8.0,0.0,10.799999999999999,77.29166666666667,9.283333333333333,149.83333333333334,7.3
2026-07-09 08:00:00,7.9,82,8.4,4.0,10.941666666666665,77.0,9.2125,149.83333333333334,7.9
2026-07-09 09:00:00,10.5,78,10.3,100.0,11.095833333333333,76.70833333333333,9.183333333333334,149.33333333333334,10.5
2026-07-09 10:00:00,13.1,74,8.1,197.0,11.245833333333335,76.5,9.166666666666666,145.54166666666666,13.1
2026-07-09 11:00:00,14.4,72,5.6,201.0,11.341666666666667,76.54166666666667,9.0375,135.45833333333334,14.4
